X,Y,Z
5.9934,0.053476,0.10592
5.9934,0.050505,0.099249
5.9934,0.047814,0.093863
5.9934,0.045179,0.088991
5.9934,0.041659,0.083181
5.9934,0.038774,0.078712
5.9934,0.033999,0.07194
5.9934,0.033193,0.07086
5.9934,0.032173,0.069577
5.9934,0.026129,0.062064
5.9934,0.023887,0.059517
5.9934,0.019617,0.054711
5.9934,0.017943,0.052928
5.9934,0.014185,0.04893
5.9934,0.013557,0.04829
5.9934,0.012325,0.047026
5.9934,0.0097283,0.044368
5.9934,0.0080028,0.042678
5.9934,0.0058602,0.04054
5.9934,0.0048399,0.039558
5.9934,0.0029429,0.037714
5.9934,0.0014895,0.036869
5.9934,0,0.036086
5.9934,-0.0016489,0.036963
5.9934,-0.002979,0.037746
5.9934,-0.004967,0.039683
5.9934,-0.0059661,0.040647
5.9934,-0.0084214,0.043087
5.9934,-0.0093607,0.044011
5.9934,-0.012985,0.047695
5.9934,-0.013224,0.047939
5.9934,-0.013407,0.048132
5.9934,-0.017799,0.052763
5.9934,-0.019318,0.054381
5.9934,-0.02399,0.059644
5.9934,-0.026403,0.062381
5.9934,-0.031656,0.068976
5.9934,-0.033428,0.071215
5.9934,-0.034733,0.072953
5.9934,-0.039627,0.080015
5.9934,-0.041315,0.082601
5.9934,-0.04568,0.089893
5.9934,-0.04639,0.091101
5.9934,-0.047622,0.093475
5.9934,-0.050834,0.099882
5.9934,-0.053809,0.10683
5.9934,-0.055016,0.10994
5.9934,-0.056317,0.11412
5.9934,-0.058147,0.1197
5.9934,-0.059116,0.12347
5.9934,-0.06034,0.12918
5.9934,-0.061134,0.13345
5.9934,-0.062181,0.14228
5.9934,-0.062262,0.143
5.9934,-0.062295,0.14365
5.9934,-0.062545,0.15346
5.9968,-0.22869,0.57232
5.9968,-0.22718,0.57232
5.9968,-0.21005,0.57232
5.9968,-0.20556,0.57232
5.9968,-0.19316,0.57232
5.9968,-0.18881,0.57232
5.9968,-0.17589,0.57232
5.9968,-0.17053,0.57232
5.9968,-0.15658,0.57232
5.9968,-0.14374,0.57232
5.9968,-0.13773,0.57232
5.9968,-0.13377,0.57232
5.9968,-0.11513,0.57232
5.9968,-0.1075,0.57232
5.9968,-0.10596,0.57232
5.9968,-0.1017,0.57232
5.9968,-0.08275,0.57232
5.9968,-0.077078,0.57232
5.9968,-0.063076,0.57232
5.9968,-0.054862,0.57232
5.9968,-0.050047,0.57232
5.9968,-0.027145,0.57232
5.9968,-0.013174,0.57232
5.9968,0,0.57232
5.9968,0.014275,0.57232
5.9968,0.028532,0.57232
5.9968,0.051964,0.57232
5.9968,0.057344,0.57232
5.9968,0.084375,0.57232
5.9968,0.08558,0.57232
5.9968,0.087343,0.57232
5.9968,0.11196,0.57232
5.9968,0.12372,0.57232
5.9968,0.13754,0.57232
5.9968,0.14123,0.57232
5.9968,0.14616,0.57232
5.9968,0.15855,0.57232
5.9968,0.17092,0.57232
5.9968,0.17637,0.57232
5.9968,0.18879,0.57232
5.9968,0.19322,0.57232
5.9968,0.20557,0.57232
5.9968,0.21008,0.57232
5.9968,0.22714,0.57232
5.9968,0.22869,0.57232
5.9968,0.22621,0.56823
5.9968,0.22157,0.56059
5.9968,0.21998,0.55797
5.9968,0.21407,0.54827
5.9968,0.20819,0.53897
5.9968,0.20601,0.53553
5.9968,0.20252,0.53012
5.9968,0.19722,0.52202
5.9968,0.19417,0.51748
5.9968,0.18741,0.50743
5.9968,0.18161,0.4991
5.9968,0.17634,0.4914
5.9968,0.16666,0.48351
5.9968,0.15959,0.47797
5.9968,0.14763,0.46875
5.9968,0.13829,0.46147
5.9968,0.12903,0.45435
5.9968,0.11448,0.44294
5.9968,0.10755,0.43756
5.9968,0.098962,0.43072
5.9968,0.085941,0.42027
5.9968,0.073654,0.40981
5.9968,0.070885,0.40749
5.9968,0.068736,0.40553
5.9968,0.058225,0.39619
5.9968,0.050796,0.38897
5.9968,0.049022,0.38721
5.9968,0.042752,0.38075
5.9968,0.038188,0.37562
5.9968,0.036743,0.37402
5.9968,0.035236,0.37218
5.9968,0.029869,0.36562
5.9968,0.026872,0.36167
5.9968,0.022158,0.355
5.9968,0.02172,0.35435
5.9968,0.02127,0.35362
5.9968,0.017629,0.34782
5.9968,0.01483,0.34278
5.9968,0.014073,0.34142
5.9968,0.011518,0.33643
5.9968,0.010493,0.33429
5.9968,0.0093028,0.33175
5.9968,0.0081144,0.32897
5.9968,0.0078758,0.32843
5.9968,0.0076257,0.32784
5.9968,0.0063143,0.32479
5.9968,0.0053193,0.32228
5.9968,0.0046496,0.32059
5.9968,0.0039936,0.31894
5.9968,0.0030467,0.31644
5.9968,0.0028484,0.31591
5.9968,0.00031456,0.31236
5.9968,0,0.31175
5.9968,-0.00032626,0.31238
5.9968,-0.0030081,0.31633
5.9968,-0.0031843,0.3168
5.9968,-0.0047162,0.32075
