X,Y,Z
-0.07014,0.42924,0.43296
-0.07014,0.42924,0.43986
-0.07014,0.42924,0.45473
-0.07014,0.42924,0.46435
-0.07014,0.42924,0.47464
-0.07014,0.42924,0.49618
-0.07014,0.42924,0.50008
-0.07014,0.42924,0.50667
-0.07014,0.42924,0.5285
-0.07014,0.42924,0.55028
-0.07014,0.42924,0.5524
-0.07014,0.42924,0.57232
-0.07014,0.41197,0.57232
-0.07014,0.40262,0.57232
-0.07014,0.39133,0.57232
-0.07014,0.37591,0.57232
-0.07014,0.36082,0.57232
-0.07014,0.34829,0.57232
-0.07014,0.33751,0.57232
-0.07014,0.32092,0.57232
-0.07014,0.30609,0.57232
-0.07014,0.29364,0.57232
-0.07014,0.27814,0.57232
-0.07014,0.2681,0.57232
-0.07014,0.25919,0.57232
-0.07014,0.24197,0.57232
-0.07014,0.22927,0.57232
-0.07014,0.21155,0.57232
-0.07014,0.19653,0.57232
-0.07014,0.18151,0.57232
-0.07014,0.16432,0.57232
-0.07014,0.15226,0.57232
-0.07014,0.13009,0.57232
-0.07014,0.12526,0.57232
-0.07014,0.10351,0.57232
-0.07014,0.095583,0.57232
-0.07014,0.078938,0.57232
-0.07014,0.058444,0.57232
-0.07014,0.052934,0.57232
-0.07014,0.032032,0.57232
-0.07014,0.017696,0.57232
-0.07014,0,0.57232
-0.07014,-0.01442,0.57232
-0.07014,-0.023324,0.57232
-0.07014,-0.039083,0.57232
-0.07014,-0.051647,0.57232
-0.07014,-0.068985,0.57232
-0.07014,-0.081609,0.57232
-0.07014,-0.095146,0.57232
-0.07014,-0.11451,0.57232
-0.07014,-0.1264,0.57232
-0.07014,-0.14167,0.57232
-0.07014,-0.15413,0.57232
-0.07014,-0.16564,0.57232
-0.07014,-0.18247,0.57232
-0.07014,-0.19546,0.57232
-0.07014,-0.21234,0.57232
-0.07014,-0.22499,0.57232
-0.07014,-0.24248,0.57232
-0.07014,-0.26032,0.57232
-0.07014,-0.27188,0.57232
-0.07014,-0.29221,0.57232
-0.07014,-0.30307,0.57232
-0.07014,-0.31944,0.57232
-0.07014,-0.33744,0.57232
-0.07014,-0.34857,0.57232
-0.07014,-0.36466,0.57232
-0.07014,-0.37921,0.57232
-0.07014,-0.39221,0.57232
-0.07014,-0.40451,0.57232
-0.07014,-0.41567,0.57232
-0.07014,-0.42924,0.57232
-0.054108,-0.42924,0.57232
-0.054108,-0.42924,0.55273
-0.054108,-0.42924,0.54428
-0.054108,-0.42924,0.53544
-0.054108,-0.42924,0.51606
-0.054108,-0.42924,0.4954
-0.054108,-0.42924,0.49099
-0.054108,-0.42924,0.48835
-0.054108,-0.42924,0.47122
-0.054108,-0.42924,0.4559
-0.054108,-0.42924,0.44962
-0.054108,-0.42924,0.44181
-0.054108,-0.42924,0.42961
-0.054108,-0.42924,0.41702
-0.054108,-0.42924,0.41334
-0.054108,-0.42924,0.41071
-0.054108,-0.42924,0.39913
-0.054108,-0.42921,0.3954
-0.054108,-0.42908,0.3885
-0.054108,-0.42862,0.38246
-0.054108,-0.4282,0.37864
-0.054108,-0.42728,0.37308
-0.054108,-0.42633,0.3686
-0.054108,-0.42569,0.36614
-0.054108,-0.42369,0.3595
-0.054108,-0.42296,0.35748
-0.054108,-0.42032,0.35087
-0.054108,-0.41976,0.34968
-0.054108,-0.41654,0.34317
-0.054108,-0.41614,0.34248
-0.054108,-0.41125,0.33442
-0.054108,-0.4109,0.33388
-0.054108,-0.40933,0.33176
-0.054108,-0.40537,0.32634
-0.054108,-0.40433,0.32498
-0.054108,-0.40294,0.32342
-0.054108,-0.39765,0.31737
-0.054108,-0.39319,0.3129
-0.054108,-0.39167,0.31143
-0.054108,-0.38515,0.30574
-0.054108,-0.38404,0.30486
-0.054108,-0.37676,0.29943
-0.054108,-0.37486,0.29821
-0.054108,-0.36907,0.29454
-0.054108,-0.36309,0.29126
-0.054108,-0.35981,0.2895
-0.054108,-0.35083,0.28546
-0.054108,-0.34951,0.28488
-0.054108,-0.34829,0.28443
-0.054108,-0.33711,0.28041
-0.054108,-0.33618,0.28014
-0.054108,-0.3247,0.27699
-0.054108,-0.32031,0.27596
-0.054108,-0.31028,0.27374
-0.054108,-0.3035,0.27232
-0.054108,-0.29036,0.26978
-0.054108,-0.28561,0.26896
-0.054108,-0.27266,0.2668
-0.054108,-0.2542,0.26425
-0.054108,-0.25201,0.26395
-0.054108,-0.22826,0.26139
-0.054108,-0.2263,0.2612
-0.054108,-0.20716,0.25969
-0.054108,-0.19563,0.25877
-0.054108,-0.1944,0.25868
-0.054108,-0.16467,0.25689
-0.054108,-0.1588,0.25656
-0.054108,-0.14135,0.25566
-0.054108,-0.11907,0.25455
-0.054108,-0.11672,0.25442
-0.054108,-0.11435,0.25431
-0.054108,-0.086301,0.25299
-0.054108,-0.0757,0.2525
-0.054108,-0.057426,0.25173
-0.054108,-0.041019,0.25104
-0.054108,-0.029834,0.2506
-0.054108,-0.019305,0.25023
-0.054108,0,0.24949
-0.054108,0.021591,0.2503
-0.054108,0.027521,0.25051
-0.054108,0.036149,0.25085
-0.054108,0.056569,0.25168
-0.054108,0.066563,0.25213
-0.054108,0.091897,0.25324
-0.054108,0.099789,0.25361
-0.054108,0.10752,0.25401
-0.054108,0.12938,0.25505
-0.054108,0.14994,0.25608
-0.054108,0.15751,0.25649
-0.054108,0.16761,0.25708
-0.054108,0.18348,0.25797
-0.054108,0.20692,0.25961
-0.054108,0.21037,0.25984
-0.054108,0.21193,0.25997
-0.054108,0.23334,0.26186
-0.054108,0.25087,0.26388
-0.054108,0.25935,0.2649
-0.054108,0.2733,0.26707
-0.054108,0.2856,0.26893
-0.054108,0.28868,0.26949
-0.054108,0.3021,0.27211
-0.054108,0.30815,0.27328
-0.054108,0.31081,0.27387
-0.054108,0.32387,0.27678
-0.054108,0.33514,0.2799
-0.054108,0.3378,0.28063
-0.054108,0.34157,0.282
-0.054108,0.34984,0.28504
-0.054108,0.35909,0.28914
-0.054108,0.35937,0.28928
-0.054108,0.36747,0.29362
-0.054108,0.37324,0.29717
-0.054108,0.37675,0.29946
-0.054108,0.38335,0.30433
-0.054108,0.38543,0.30601
-0.054108,0.39117,0.31099
-0.054108,0.39216,0.31195
-0.054108,0.39714,0.31687
-0.054108,0.40319,0.32364
-0.054108,0.40359,0.3241
-0.054108,0.40427,0.32496
-0.054108,0.40882,0.33084
-0.054108,0.41065,0.33354
-0.054108,0.4128,0.33676
-0.054108,0.4163,0.34278
-0.054108,0.41677,0.3436
-0.054108,0.41977,0.3497
-0.054108,0.42032,0.35087
-0.054108,0.42296,0.35748
-0.054108,0.42369,0.3595
-0.054108,0.42569,0.36614
-0.054108,0.42633,0.36861
-0.054108,0.42728,0.37307
-0.054108,0.4282,0.37865
-0.054108,0.42861,0.38234
-0.054108,0.42909,0.38865
-0.054108,0.42921,0.39566
-0.054108,0.42924,0.399
-0.054108,0.42924,0.40602
-0.054108,0.42924,0.4138
-0.054108,0.42924,0.41791
-0.054108,0.42924,0.43075
-0.054108,0.42924,0.44073
-0.054108,0.42924,0.45231
-0.054108,0.42924,0.46387
-0.054108,0.42924,0.47433
-0.054108,0.42924,0.48378
-0.054108,0.42924,0.49983
-0.054108,0.42924,0.52693
-0.054108,0.42924,0.52829
-0.054108,0.42924,0.52966
-0.054108,0.42924,0.56848
-0.054108,0.42924,0.57232
-0.054108,0.42072,0.57232
-0.054108,0.40223,0.57232
-0.054108,0.38865,0.57232
-0.054108,0.37373,0.57232
-0.054108,0.35922,0.57232
-0.054108,0.34598,0.57232
-0.054108,0.32908,0.57232
-0.054108,0.31956,0.57232
-0.054108,0.30828,0.57232
-0.054108,0.29474,0.57232
-0.054108,0.28563,0.57232
-0.054108,0.26752,0.57232
-0.054108,0.2471,0.57232
-0.054108,0.24015,0.57232
-0.054108,0.2096,0.57232
-0.054108,0.20951,0.57232
-0.054108,0.20441,0.57232
-0.054108,0.17826,0.57232
-0.054108,0.17802,0.57232
-0.054108,0.14842,0.57232
-0.054108,0.14126,0.57232
